feature,mean_shap,raw_feature
Speaker's job title: Candidate for U.S. Senate,-0.001420656782393808,job__Speaker's job title_Candidate for U.S. Senate
State: Indiana,-0.001420383258004136,state__State_Indiana
corporate tax,-0.0014066493575155333,text__corpor tax
less per,-0.0013970084211763433,text__less per
state cut,-0.001385174109289685,text__state cut
State: Minnesota,-0.0013849712885722137,state__State_Minnesota
Context: a campaign flier,-0.001376469702962096,context__Context_a campaign flier
says need,-0.0013632516181835681,text__say need
weve added,-0.0013601774766878669,text__weve ad
crowds,-0.0013581890430033575,text__crowd
support national,-0.0013566977863413365,text__support nation
ever get,-0.0013488466541957639,text__ever get
Context: a TV ad.,-0.0013487245951634345,context__Context_a TV ad.
Speaker's job title: Attorney,-0.0013408519734464345,job__Speaker's job title_Attorney
Context: blog posts,-0.001325920541872483,context__Context_blog posts
borrowing money,-0.001325002956175987,text__borrow money
kicking,-0.001324054234205542,text__kick
rainy,-0.0013223060818943037,text__raini
rainy day,-0.0013223060818943037,text__raini day
whether,-0.0013183170926358836,text__whether
Speaker's job title: Developer and homebuilder,-0.0013143543270169404,job__Speaker's job title_Developer and homebuilder
trillion defense,-0.0013139093010634,text__trillion defens
Context: a newspaper interview,-0.001313183123064136,context__Context_a newspaper interview
says since,-0.0013120813260152193,text__say sinc
offenders,-0.001309688245477895,text__offend
peak,-0.0013078632685856772,text__peak
new england,-0.0013043410990668405,text__new england
Party: talk-show-host,-0.0013024699945861629,party__Party_talk-show-host
majority americans,-0.001301365561613991,text__major american
percent,-0.0012962664320697855,text__percent
socialists,-0.0012945098948202705,text__socialist
trade deal,-0.0012921109461465114,text__trade deal
congressman,-0.001271248833979784,text__congressman
syria iraq,-0.0012701532135697697,text__syria iraq
taxpayers money,-0.0012683853515925458,text__taxpay money
passed budget,-0.0012652560553621706,text__pass budget
Context: a candidate forum,-0.0012650211880996516,context__Context_a candidate forum
mammograms,-0.0012623615561213435,text__mammogram
scheme,-0.0012571861142137613,text__scheme
bulbs,-0.0012532562019623781,text__bulb
united,-0.0012532120088550689,text__unit
Context: an email blast,-0.0012450963209455475,context__Context_an email blast
access,-0.0012323815037021835,text__access
either,-0.0012281464707080433,text__either
rate increase,-0.0012279680311275678,text__rate increas
modern,-0.0012223747337211373,text__modern
Subject: gambling,-0.001217919325204762,subject__gambling
debate,-0.0012178683257218325,text__debat
financial protect,-0.001204697752775042,text__financi protect
protect bureau,-0.001204697752775042,text__protect bureau
consumer financial,-0.001204697752775042,text__consum financi
gone percent,-0.0011945074759618921,text__gone percent
Context: tweets,-0.0011940704355874274,context__Context_tweets
Context: an e-mail.,-0.0011940704355874274,context__Context_an e-mail.
Subject: government-efficiency,-0.0011935325310508751,subject__government-efficiency
tell americans,-0.0011910448692490881,text__tell american
four months,-0.0011889905283091193,text__four month
light bulbs,-0.0011889135649693343,text__light bulb
higher education,-0.0011880965974374906,text__higher educ
ukrainians,-0.0011873991901861364,text__ukrainian
Subject: disability,-0.00118367483459896,subject__disability
Subject: states,-0.001179868545125808,subject__states
million jobs,-0.0011739028274234632,text__million job
Speaker's job title: Radio talk show host,-0.0011732990793779767,job__Speaker's job title_Radio talk show host
State: Rhode Island,-0.0011713395963437402,state__State_Rhode Island
tax relief,-0.0011678868691334548,text__tax relief
signed law,-0.001161913139490429,text__sign law
security medicare,-0.0011589880215478253,text__secur medicar
tuition increase,-0.0011545460088732082,text__tuition increas
department education,-0.0011496408456750228,text__depart educ
custody,-0.0011472128659910884,text__custodi
Context: an opinion column,-0.0011409666401429074,context__Context_an opinion column
declined percent,-0.0011400012657560028,text__declin percent
commission,-0.0011384869279114232,text__commiss
shutdown,-0.0011339673905457935,text__shutdown
national average,-0.0011248796121163872,text__nation averag
dallas,-0.0011223997554920546,text__dalla
fast,-0.0011222840825329133,text__fast
hussein,-0.0011184879511302005,text__hussein
patrick,-0.0011161730487066724,text__patrick
percent time,-0.0011152527566766859,text__percent time
congresswoman,-0.0011151395588911582,text__congresswoman
electorate,-0.0011112778130995032,text__elector
movement,-0.0011109391170075998,text__movement
wealth,-0.001091798023242109,text__wealth
fundamental,-0.0010914085156170008,text__fundament
spill,-0.0010884206394465722,text__spill
Context: a press conference,-0.0010879778579805058,context__Context_a press conference
galveston,-0.0010827517309750982,text__galveston
students,-0.001079186274792429,text__student
sex offenders,-0.001066793903696746,text__sex offend
minutes,-0.0010651726983126018,text__minut
number people,-0.0010588867333998842,text__number peopl
four,-0.0010569985682096243,text__four
fast food,-0.0010551266621982199,text__fast food
heck,-0.0010516183416617818,text__heck
percentage point,-0.001051447375110409,text__percentag point
State: West Virginia,-0.001050654114446829,state__State_West Virginia
need,-0.0010482505431523765,text__need
americans families,-0.001040144875880619,text__american famili
Context: a television advertisement,-0.0010356878819472138,context__Context_a television advertisement
Context: comments on his radio show,-0.0010356878819472138,context__Context_comments on his radio show
Context: an interview on the Fox News Channel.,-0.0010356878819472138,context__Context_an interview on the Fox News Channel.
tried,-0.0010331505872138845,text__tri
faculty,-0.0010245479876747267,text__faculti
blind,-0.0010227156803936975,text__blind
entire world,-0.0010205986140304503,text__entir world
Party: activist,-0.0010169334030309975,party__Party_activist
still half,-0.0010151382733617736,text__still half
putin,-0.0010140399360802842,text__putin
risen,-0.0010138767677570415,text__risen
budget military,-0.0010061809491084428,text__budget militari
happy,-0.0010024425365626729,text__happi
reining,-0.001000734961264778,text__rein
friends,-0.0009931324937831366,text__friend
"Context: ABC's ""This Week""",-0.0009903321746361207,"context__Context_ABC's ""This Week"""
State: Nevada,-0.0009891299504315616,state__State_Nevada
put together,-0.0009855963888079024,text__put togeth
least,-0.0009853181755401842,text__least
less percent,-0.0009827086759335326,text__less percent
pick,-0.0009770687210882629,text__pick
recovery act,-0.0009761386895204494,text__recoveri act
junk,-0.0009713950752786532,text__junk
epa,-0.0009685933390186195,text__epa
seven year,-0.0009684534937120995,text__seven year
love,-0.0009684176019479941,text__love
sean,-0.0009676704633580554,text__sean
day,-0.0009667495431947578,text__day
conflict,-0.0009654268081287163,text__conflict
largest tax,-0.0009620058401265907,text__largest tax
would otherwise,-0.0009603054781409461,text__would otherwis
duffy,-0.0009533648692355409,text__duffi
face,-0.0009530656206899333,text__face
deficit half,-0.0009521595981163897,text__deficit half
policemen,-0.000945369729905466,text__policemen
get billion,-0.0009453682415908812,text__get billion
anyone,-0.0009413424872551566,text__anyon
spending less,-0.0009393803368782653,text__spend less
england,-0.0009392290486804572,text__england
tenure,-0.0009388452741674202,text__tenur
college tuition,-0.0009346138460545079,text__colleg tuition
stand,-0.0009312381319672569,text__stand
talking,-0.0009292149225987949,text__talk
usda,-0.0009287383400635021,text__usda
send billion,-0.0009222713274985441,text__send billion
broke,-0.000914237177101779,text__broke
would limit,-0.0009115620895874979,text__would limit
mark,-0.0009014802482227081,text__mark
three,-0.0008990948701559445,text__three
sean duffy,-0.000898905736135298,text__sean duffi
school year,-0.0008983345140589689,text__school year
obama health,-0.0008956152839025059,text__obama health
says charlie,-0.000895113291709988,text__say charli
class tax,-0.000886162431249592,text__class tax
obama weve,-0.000884337630983477,text__obama weve
iran nuclear,-0.0008834343648165328,text__iran nuclear
national,-0.0008796819510283748,text__nation
border,-0.0008789313947002719,text__border
president modern,-0.0008779344869827949,text__presid modern
related fatalities,-0.0008759182166167763,text__relat fatal
account percent,-0.0008748567857382983,text__account percent
treasurer,-0.0008701988291395392,text__treasur
Speaker's job title: Governor of North Carolina,-0.0008689088024940101,job__Speaker's job title_Governor of North Carolina
Context: a floor speech,-0.0008683133297241086,context__Context_a floor speech
Subject: corrections-and-updates,-0.0008674878894119556,subject__corrections-and-updates
european,-0.000866502834840163,text__european
jersey,-0.0008664993175372166,text__jersey
Subject: congressional-rules,-0.0008644184995739571,subject__congressional-rules
seventy,-0.0008623770677759137,text__seventi
abortion even,-0.0008591229621942141,text__abort even
Context: a statement,-0.0008558421336200524,context__Context_a statement
new jersey,-0.0008546179613925215,text__new jersey
Subject: baseball,-0.000851414941868121,subject__baseball
nuclear power,-0.0008499117771820073,text__nuclear power
Subject: veterans,-0.0008487021443665299,subject__veterans
past decade,-0.0008485936883890131,text__past decad
sarah palin,-0.000847510766706153,text__sarah palin
Subject: consumer-safety,-0.0008465346512658079,subject__consumer-safety
Context: a blog post.,-0.0008446056071026436,context__Context_a blog post.
Context: a TV commercial,-0.0008446056071026436,context__Context_a TV commercial
greater,-0.0008444064997015153,text__greater
Subject: pop-culture,-0.0008429528719771465,subject__pop-culture
Speaker's job title: President,-0.0008427448600612382,job__Speaker's job title_President
nearly year,-0.0008399910071363868,text__nearli year
millionaires,-0.0008382219325732687,text__millionair
increase since,-0.000825435047879474,text__increas sinc
east,-0.0008217978121974046,text__east
doubled,-0.0008207602616863806,text__doubl
bachmann,-0.0008148765963133998,text__bachmann
newt,-0.0008121879844159964,text__newt
united state,-0.0008121348891431839,text__unit state
Speaker's job title: author,-0.0008116475760023635,job__Speaker's job title_author
Speaker's job title: Senate Democratic Leader,-0.0008083618726361557,job__Speaker's job title_Senate Democratic Leader
americans work,-0.000803049396296699,text__american work
could pay,-0.0008014754510772268,text__could pay
people going,-0.0007985027997724638,text__peopl go
Subject: taxes,-0.0007980574335910845,subject__taxes
families,-0.0007966577215833716,text__famili
going,-0.0007948613522583996,text__go
four percent,-0.0007938910154864306,text__four percent
relief,-0.0007926829113302636,text__relief
"Speaker's job title: Minority leader, House of Delegates",-0.0007908931476900394,"job__Speaker's job title_Minority leader, House of Delegates"
politicians,-0.0007901318334391801,text__politician
aclu,-0.0007887935701356207,text__aclu
pelosi,-0.0007879790548213644,text__pelosi
pay income,-0.0007875959055047223,text__pay incom
federal law,-0.000777180236399722,text__feder law
advisory,-0.0007732800703068661,text__advisori
Context: a Republican presidential primary debate,-0.0007701217914805888,context__Context_a Republican presidential primary debate
Context: a radio ad.,-0.0007701217914805888,context__Context_a radio ad.
lawmakers,-0.0007657584511650226,text__lawmak
shops,-0.0007655249614047919,text__shop
redistricting,-0.0007623032647316672,text__redistrict
wrote,-0.0007598264000632565,text__wrote
factories,-0.0007544300215249238,text__factori
war ii,-0.000744325116936484,text__war ii
doubled since,-0.0007430365555907561,text__doubl sinc
wants add,-0.0007430158186569872,text__want add
stimulus cost,-0.0007426651292447783,text__stimulu cost
dragged,-0.0007401360703598945,text__drag
critical,-0.0007327940886587878,text__critic
almost percent,-0.0007314687146719141,text__almost percent
nothing,-0.0007307877431398537,text__noth
every year,-0.0007277089868231048,text__everi year
Subject: oil-spill,-0.0007273027020511131,subject__oil-spill
says plan,-0.0007251489331211611,text__say plan
Subject: immigration,-0.0007231049859522167,subject__immigration
homosexuality,-0.0007220740021435713,text__homosexu
obama said,-0.0007187442394435416,text__obama said
ice,-0.0007153756442369237,text__ice
bid,-0.0007117836739979718,text__bid
scientists,-0.0007109963282569591,text__scientist
State: Alabama,-0.000710328391196904,state__State_Alabama
cheese,-0.000709313728923688,text__chees
early,-0.0007042303156345028,text__earli
borrowing,-0.0007021406302603892,text__borrow
newt gingrich,-0.0007020712718202533,text__newt gingrich
none,-0.0007011761306237558,text__none
texas abortion,-0.0007007825105534625,text__texa abort
opponent,-0.0007007332569499558,text__oppon
Speaker's job title: state agriculture commissioner,-0.0007000836803844436,job__Speaker's job title_state agriculture commissioner
texas senate,-0.0006946997351135271,text__texa senat
hiv,-0.0006941335528731995,text__hiv
detainees,-0.0006912572411044071,text__detaine
attend,-0.0006911513637309654,text__attend
gave,-0.0006896669147419869,text__gave
performing,-0.0006887438213905232,text__perform
Subject: hunger,-0.0006879999184573095,subject__hunger
insurance commissioner,-0.0006873652210303568,text__insur commission
november election,-0.0006870548978088793,text__novemb elect
going twice,-0.0006856809149133892,text__go twice
Context: a YouTube video,-0.0006847124902649358,context__Context_a YouTube video
Subject: abortion,-0.0006818829405735858,subject__abortion
says thomas,-0.0006810409880379501,text__say thoma
million per,-0.0006787119220177579,text__million per
time faster,-0.0006784980338266058,text__time faster
idea,-0.000676523467392751,text__idea
Speaker's job title: Senate minority leader,-0.0006749721114628754,job__Speaker's job title_Senate minority leader
saddam hussein,-0.0006746963730564272,text__saddam hussein
created new,-0.0006741627860837433,text__creat new
Context: a newsletter.,-0.0006705548733062385,context__Context_a newsletter.
online,-0.0006694917187352832,text__onlin
gingrich,-0.0006672033114866361,text__gingrich
million americans,-0.0006646764185395197,text__million american
court nominee,-0.0006635544322453585,text__court nomine
middle class,-0.0006630172569074448,text__middl class
purpose,-0.000662467056860349,text__purpos
murphy,-0.000661330698711519,text__murphi
Subject: pundits,-0.000658904116748713,subject__pundits
shes,-0.0006582096216493844,text__she
agreement,-0.0006570577252177881,text__agreement
wants eliminate,-0.0006552174861866953,text__want elimin
pet,-0.0006549330251325468,text__pet
Speaker's job title: College professor,-0.0006539462560712859,job__Speaker's job title_College professor
would funding,-0.0006534140232838446,text__would fund
care coverage,-0.0006517647740256179,text__care coverag
see,-0.0006516808832102734,text__see
views,-0.0006495270968560399,text__view
Speaker's job title: super PAC,-0.0006489605263016718,job__Speaker's job title_super PAC
going get,-0.0006475275975548458,text__go get
Speaker's job title: U.S. Congressman,-0.0006467292882866659,job__Speaker's job title_U.S. Congressman
information,-0.0006436799479796465,text__inform
relationship,-0.000642384250185381,text__relationship
Subject: supreme-court,-0.000640637121730391,subject__supreme-court
said publicly,-0.0006401720337961759,text__said publicli
Context: a press release.,-0.0006399742327584167,context__Context_a press release.
jews,-0.0006385372121513206,text__jew
Subject: islam,-0.000635203331782106,subject__islam
State: California,-0.0006327713476293898,state__State_California
Context: in a speech,-0.0006325105940498258,context__Context_in a speech
"Context: Oxford, Miss.",-0.0006325105940498258,"context__Context_Oxford, Miss."
Speaker's job title: Republican nominee for Nevada U.S. Senate seat,-0.0006325105940498258,job__Speaker's job title_Republican nominee for Nevada U.S. Senate seat
killed jobs,-0.0006316203666730396,text__kill job
freddie,-0.0006309452565571339,text__freddi
war iraq,-0.0006302808936106115,text__war iraq
two,-0.000629749772797969,text__two
education,-0.0006292560881853704,text__educ
taxpayers,-0.0006289356337260248,text__taxpay
guarantee,-0.0006285240101482552,text__guarante
problem,-0.0006268026237302745,text__problem
religion,-0.0006267546947077473,text__religion
marta,-0.000625881083378856,text__marta
"Speaker's job title: U.S. Representative, Florida District 23",-0.0006254820436343872,"job__Speaker's job title_U.S. Representative, Florida District 23"
voted let,-0.0006253869803815105,text__vote let
offered,-0.0006235103555216626,text__offer
never said,-0.0006235103427330813,text__never said
zone,-0.0006227851810118571,text__zone
size,-0.0006224693065254209,text__size
Subject: transparency,-0.0006201754889432088,subject__transparency
moratorium,-0.0006169734847515617,text__moratorium
warming,-0.0006164341563359936,text__warm
says congressman,-0.0006157523215872607,text__say congressman
state legislature,-0.0006130962865520619,text__state legislatur
nancy pelosi,-0.0006084922555836182,text__nanci pelosi
average state,-0.0006077656730978355,text__averag state
guantanamo,-0.0006075538600386005,text__guantanamo
dan,-0.0006067684916105769,text__dan
prices gone,-0.0006065627093120303,text__price gone
federal minimum,-0.0006059169437970164,text__feder minimum
celebrates,-0.0006026942292542912,text__celebr
Context: a speech at the Republican National Convention,-0.0006008813613609701,context__Context_a speech at the Republican National Convention
bathroom,-0.0006007612813697404,text__bathroom
rest,-0.000600747170126807,text__rest
conservative,-0.0006005547589008333,text__conserv
yes,-0.0006000580843232275,text__ye
head started,-0.0005996080832839714,text__head start
reduction,-0.0005995385128202287,text__reduct
sarah,-0.000598998090102138,text__sarah
Subject: sports,-0.000597423825754225,subject__sports
flawed,-0.0005931004161486642,text__flaw
find,-0.0005916142437377145,text__find
father,-0.0005896605336308707,text__father
per jobs,-0.0005888330906199006,text__per job
patients,-0.0005881165755418415,text__patient
big bank,-0.000587481668455642,text__big bank
slush,-0.0005873631758883709,text__slush
slush funding,-0.0005873631758883709,text__slush fund
"Context: an interview on NBC's ""Meet the Press""",-0.000586315468466605,"context__Context_an interview on NBC's ""Meet the Press"""
government takeover,-0.0005853636917957169,text__govern takeov
taxpayers funding,-0.0005853208684135642,text__taxpay fund
economy,-0.0005844488696639548,text__economi
since president,-0.0005840062819545089,text__sinc presid
josh,-0.0005814267871640363,text__josh
joe heck,-0.0005813602802010167,text__joe heck
americans citizens,-0.0005812527983013553,text__american citizen
achievement,-0.0005801802904250449,text__achiev
mental illness,-0.0005800666575724974,text__mental ill
sherrod brown,-0.0005780516618386773,text__sherrod brown
"Speaker's job title: Co-host on Fox News Channel's ""The Five""",-0.0005717678622928173,"job__Speaker's job title_Co-host on Fox News Channel's ""The Five"""
memorial,-0.0005712729482395286,text__memori
Subject: human-rights,-0.0005706179468669967,subject__human-rights
teachers,-0.0005697509316944606,text__teacher
entire,-0.0005686785285026253,text__entir
windmills,-0.0005649734736349161,text__windmil
liberal,-0.0005643322661274287,text__liber
Context: an interview on NJToday,-0.0005630704047350957,context__Context_an interview on NJToday
Context: a campaign TV ad,-0.0005630704047350929,context__Context_a campaign TV ad
europe,-0.000562758815761488,text__europ
students athletes,-0.0005622039933294402,text__student athlet
increase history,-0.000560240975252541,text__increas histori
mental,-0.0005599381114485743,text__mental
labor,-0.0005574618299679241,text__labor
takeover health,-0.00055704570138673,text__takeov health
two third,-0.0005546531202159125,text__two third
finish,-0.0005536293043309068,text__finish
organizations,-0.000552013894385627,text__organ
spike,-0.0005497942586977668,text__spike
primarily,-0.0005495811484802891,text__primarili
chafee,-0.000548954770952734,text__chafe
year ever,-0.0005486681503558515,text__year ever
tuition,-0.00054589372284319,text__tuition
paper,-0.0005453998165801047,text__paper
nancy,-0.0005437870765765767,text__nanci
republican leader,-0.0005422552347241941,text__republican leader
decade,-0.0005419698460360337,text__decad
mom,-0.0005392232083271455,text__mom
field,-0.0005390351011978091,text__field
marquette,-0.0005383314328295305,text__marquett
patrick murphy,-0.0005373157956339461,text__patrick murphi
israel,-0.0005356189663524764,text__israel
fluoridation,-0.0005341085715771605,text__fluorid
josh mandel,-0.0005332173132584257,text__josh mandel
discrimination,-0.0005316295494726678,text__discrimin
obama plan,-0.0005308161771773119,text__obama plan
biggest tax,-0.000530184588271476,text__biggest tax
State: Alaska,-0.0005300676562055004,state__State_Alaska
homestead,-0.0005296806066118188,text__homestead
drug,-0.0005275605046427356,text__drug
"Context: an interview on CNN's ""State of the Union""",-0.0005273184407718491,"context__Context_an interview on CNN's ""State of the Union"""
davis,-0.0005269119917425365,text__davi
spent million,-0.0005257063840433674,text__spent million
Context: a report,-0.0005253270572234145,context__Context_a report
voters fraud,-0.0005249832019158322,text__voter fraud
hamas,-0.0005234692424396977,text__hama
flew,-0.0005229537175455162,text__flew
team,-0.0005217950265050108,text__team
ore,-0.0005195856368972066,text__ore
world war,-0.000518741243217894,text__world war
Speaker's job title: House Minority Leader,-0.0005173643782398359,job__Speaker's job title_House Minority Leader
motors,-0.0005173466991123584,text__motor
takeover,-0.0005165642377614862,text__takeov
democrats majority,-0.0005152031358929607,text__democrat major
governor,-0.0005149933067468055,text__governor
